,true,pred,prob
0,0,0.0,[9.49352437e-01 5.06245831e-02 2.29800954e-05]
1,1,1.0,[2.97064725e-02 9.70074606e-01 2.18921360e-04]
2,0,1.0,[2.43646615e-01 7.56300224e-01 5.31607145e-05]
3,1,1.0,[4.18000182e-02 9.58019469e-01 1.80512939e-04]
4,1,1.0,[3.65489693e-02 9.63343652e-01 1.07378636e-04]
5,0,0.0,[5.85403773e-01 4.14526702e-01 6.95253782e-05]
6,0,0.0,[9.70343172e-01 2.96106445e-02 4.61835100e-05]
7,1,1.0,[4.91968720e-02 9.50774230e-01 2.88982097e-05]
8,1,0.0,[7.04460087e-01 2.95297184e-01 2.42728897e-04]
9,0,0.0,[5.78114468e-01 4.21794690e-01 9.08416913e-05]
10,0,0.0,[9.98761493e-01 1.23597677e-03 2.53013880e-06]
11,1,1.0,[1.43471150e-01 8.56502529e-01 2.63205369e-05]
12,0,0.0,[9.99700864e-01 2.93488039e-04 5.64811210e-06]
13,1,1.0,[5.09481895e-03 9.94865499e-01 3.96821225e-05]
14,1,1.0,[6.73457386e-05 9.99926915e-01 5.73891913e-06]
15,1,1.0,[1.53203702e-01 8.45994322e-01 8.01975304e-04]
16,1,1.0,[2.28385876e-01 7.71153123e-01 4.61000850e-04]
17,0,1.0,[1.01071125e-01 8.98891629e-01 3.72462804e-05]
18,0,1.0,[1.68604916e-02 9.83104909e-01 3.45994832e-05]
19,0,0.0,[9.97787191e-01 2.20785886e-03 4.95012747e-06]
20,0,0.0,[9.97296764e-01 2.69078825e-03 1.24481112e-05]
21,1,0.0,[7.27842368e-01 2.71458125e-01 6.99506411e-04]
22,1,1.0,[3.14317411e-01 6.85528756e-01 1.53832747e-04]
23,0,0.0,[9.99964447e-01 3.37141330e-05 1.83924902e-06]
24,0,0.0,[9.85368307e-01 1.45389708e-02 9.27223551e-05]
25,0,1.0,[3.62478135e-01 6.37404103e-01 1.17761950e-04]
26,0,0.0,[8.53331096e-01 1.46638333e-01 3.05712837e-05]
27,1,1.0,[2.10458841e-01 7.89509334e-01 3.18254997e-05]
28,0,0.0,[9.92648832e-01 7.32475986e-03 2.64081636e-05]
29,1,0.0,[9.15737950e-01 8.36177271e-02 6.44323075e-04]
30,1,1.0,[1.82341683e-01 8.17458763e-01 1.99553635e-04]
31,1,1.0,[1.05739451e-02 9.89407345e-01 1.87094968e-05]
32,0,0.0,[9.04328168e-01 9.55088444e-02 1.62987525e-04]
