,true,pred,prob
0,0,0.0,[8.39958288e-01 1.60020462e-01 2.12502346e-05]
1,1,0.0,[9.58737688e-01 4.12360623e-02 2.62495888e-05]
2,1,1.0,[4.78995441e-01 5.20951484e-01 5.30750555e-05]
3,0,0.0,[6.25461133e-01 3.74482099e-01 5.67672571e-05]
4,0,0.0,[9.85416600e-01 1.45675487e-02 1.58516676e-05]
5,1,0.0,[9.99595843e-01 4.02448661e-04 1.70872187e-06]
6,0,0.0,[9.99657058e-01 3.42481097e-04 4.60407735e-07]
7,0,0.0,[9.54901756e-01 4.50733711e-02 2.48732206e-05]
8,0,0.0,[9.82563008e-01 1.74208777e-02 1.61140242e-05]
9,0,0.0,[8.52509389e-01 1.47423707e-01 6.69032413e-05]
10,0,0.0,[5.35616893e-01 4.64342130e-01 4.09769329e-05]
11,0,0.0,[8.98013454e-01 1.01947306e-01 3.92396191e-05]
12,1,0.0,[8.45636776e-01 1.54337059e-01 2.61657393e-05]
13,0,0.0,[9.99999993e-01 7.42811359e-10 6.59776221e-09]
14,0,0.0,[9.99525097e-01 4.71898145e-04 3.00477238e-06]
15,0,0.0,[9.71024079e-01 2.89534887e-02 2.24327212e-05]
16,1,0.0,[7.96509425e-01 2.03432058e-01 5.85177417e-05]
17,1,0.0,[8.65214641e-01 1.34725048e-01 6.03109117e-05]
18,0,0.0,[5.00984885e-01 4.98957968e-01 5.71474711e-05]
19,0,0.0,[9.89335861e-01 1.06498298e-02 1.43091999e-05]
20,1,0.0,[5.20666051e-01 4.79279125e-01 5.48240408e-05]
21,0,0.0,[9.97687118e-01 2.30284934e-03 1.00321585e-05]
22,0,0.0,[9.76814128e-01 2.31500299e-02 3.58421058e-05]
23,0,0.0,[9.65650142e-01 3.43194744e-02 3.03836111e-05]
24,0,0.0,[9.97718574e-01 2.27627027e-03 5.15560986e-06]
25,0,0.0,[9.26670695e-01 7.33064970e-02 2.28076142e-05]
26,1,1.0,[2.40898902e-01 7.59032856e-01 6.82416142e-05]
27,0,0.0,[9.86759878e-01 1.32185337e-02 2.15887735e-05]
28,0,0.0,[7.74210815e-01 2.25711876e-01 7.73089220e-05]
29,0,0.0,[1.00000000e+00 1.19983480e-14 2.65648999e-11]
30,1,0.0,[9.99443495e-01 5.54408755e-04 2.09662327e-06]
31,1,1.0,[2.82253421e-01 7.17648479e-01 9.80997904e-05]
32,1,0.0,[8.92091087e-01 1.07852391e-01 5.65220637e-05]
33,1,1.0,[2.39634817e-03 9.97595333e-01 8.31853646e-06]
34,0,0.0,[9.94074637e-01 5.91563041e-03 9.73279592e-06]
35,0,0.0,[9.91783088e-01 8.20760527e-03 9.30673461e-06]
36,1,1.0,[2.28821583e-01 7.71129574e-01 4.88428813e-05]
37,0,1.0,[4.95261503e-01 5.04698600e-01 3.98977466e-05]
38,0,0.0,[6.42606013e-01 3.57327902e-01 6.60854039e-05]
39,1,0.0,[9.00307383e-01 9.96251517e-02 6.74653151e-05]
40,0,0.0,[9.89749397e-01 1.02329997e-02 1.76031252e-05]
41,0,0.0,[8.08237508e-01 1.91690972e-01 7.15203515e-05]
42,1,0.0,[8.96157086e-01 1.03798075e-01 4.48383402e-05]
43,0,0.0,[9.06339101e-01 9.36377497e-02 2.31494541e-05]
44,0,0.0,[9.85592417e-01 1.43921917e-02 1.53912089e-05]
45,0,0.0,[9.67930813e-01 3.20476215e-02 2.15651825e-05]
46,1,1.0,[8.42125921e-02 9.15729073e-01 5.83347455e-05]
47,0,0.0,[9.70931436e-01 2.90583552e-02 1.02083351e-05]
48,1,0.0,[9.21238957e-01 7.87089774e-02 5.20653938e-05]
49,0,0.0,[9.78251470e-01 2.17268675e-02 2.16621254e-05]
50,0,0.0,[9.99968113e-01 3.11198626e-05 7.67612345e-07]
51,1,1.0,[9.10288235e-02 9.08937949e-01 3.32271266e-05]
52,0,0.0,[9.86839438e-01 1.31393236e-02 2.12385213e-05]
53,0,0.0,[9.21009875e-01 7.89457563e-02 4.43682866e-05]
54,1,1.0,[1.32621880e-01 8.67316585e-01 6.15353294e-05]
55,1,1.0,[3.53465898e-02 9.64590875e-01 6.25352363e-05]
56,0,0.0,[9.98612851e-01 1.38008743e-03 7.06175551e-06]
57,1,1.0,[1.82133586e-01 8.17773927e-01 9.24863519e-05]
58,0,0.0,[9.91583606e-01 8.40457558e-03 1.18180582e-05]
59,0,0.0,[9.88323365e-01 1.16561343e-02 2.05003631e-05]
60,0,1.0,[2.36866681e-01 7.63111239e-01 2.20797188e-05]
61,0,1.0,[3.25782861e-01 6.74156359e-01 6.07800225e-05]
62,0,0.0,[7.72588870e-01 2.27360029e-01 5.11016979e-05]
63,0,1.0,[3.90600570e-02 9.60917097e-01 2.28459053e-05]
64,1,1.0,[2.18250613e-03 9.97794663e-01 2.28307113e-05]
65,0,1.0,[4.39122553e-01 5.60775982e-01 1.01465192e-04]
66,1,1.0,[3.56159966e-02 9.64369144e-01 1.48599057e-05]
67,0,0.0,[8.29332777e-01 1.70625737e-01 4.14864932e-05]
68,0,0.0,[9.64254226e-01 3.57078526e-02 3.79214871e-05]
69,1,1.0,[1.87640055e-02 9.81214089e-01 2.19059394e-05]
70,1,0.0,[9.88123886e-01 1.18702424e-02 5.87170963e-06]
71,0,0.0,[8.65085420e-01 1.34886672e-01 2.79085280e-05]
72,0,0.0,[9.98709261e-01 1.28888432e-03 1.85476612e-06]
73,1,1.0,[2.09685777e-02 9.79014850e-01 1.65724865e-05]
74,0,0.0,[9.99141054e-01 8.50208602e-04 8.73715280e-06]
75,0,0.0,[7.47777535e-01 2.52144101e-01 7.83633805e-05]
76,0,0.0,[9.70756443e-01 2.92160424e-02 2.75140650e-05]
77,0,0.0,[6.55288356e-01 3.44630343e-01 8.13011208e-05]
78,0,0.0,[9.96252026e-01 3.74434849e-03 3.62562599e-06]
79,0,0.0,[5.44408813e-01 4.55513022e-01 7.81652006e-05]
80,1,1.0,[7.11751602e-03 9.92881411e-01 1.07282493e-06]
81,1,1.0,[9.61394616e-02 9.03830845e-01 2.96936906e-05]
82,0,0.0,[9.44997110e-01 5.49725794e-02 3.03106867e-05]
83,0,0.0,[9.57770005e-01 4.22004636e-02 2.95314253e-05]
84,1,1.0,[3.53016413e-01 6.46931202e-01 5.23842307e-05]
85,0,0.0,[9.32536815e-01 6.74054160e-02 5.77692457e-05]
86,0,0.0,[8.50189923e-01 1.49747561e-01 6.25161334e-05]
87,1,1.0,[8.58864777e-03 9.91395127e-01 1.62249113e-05]
88,0,0.0,[9.99499311e-01 4.95639058e-04 5.04965666e-06]
89,0,0.0,[9.80837957e-01 1.91348738e-02 2.71687286e-05]
90,0,0.0,[9.34723479e-01 6.52528623e-02 2.36586756e-05]
91,0,0.0,[9.31722371e-01 6.82566564e-02 2.09730108e-05]
92,1,1.0,[1.27911486e-01 8.72064046e-01 2.44686728e-05]
93,0,0.0,[9.43006258e-01 5.69493744e-02 4.43675557e-05]
94,1,1.0,[1.53894133e-02 9.84596894e-01 1.36922543e-05]
95,1,1.0,[4.02424243e-01 5.97543091e-01 3.26664345e-05]
96,1,1.0,[2.05303285e-01 7.94662305e-01 3.44094174e-05]
97,0,1.0,[2.22251701e-01 7.77678245e-01 7.00539974e-05]
98,0,0.0,[9.89848881e-01 1.01389569e-02 1.21621214e-05]
99,0,0.0,[9.99659889e-01 3.36537432e-04 3.57373180e-06]
100,1,1.0,[5.28746939e-02 9.47081871e-01 4.34355741e-05]
101,1,1.0,[6.16314445e-02 9.38311872e-01 5.66830917e-05]
102,0,0.0,[9.62116370e-01 3.78593323e-02 2.42979181e-05]
103,1,1.0,[3.97302902e-01 6.02616576e-01 8.05214633e-05]
104,1,1.0,[9.16927289e-02 9.08260917e-01 4.63541037e-05]
105,0,0.0,[9.96524081e-01 3.46873301e-03 7.18576326e-06]
106,0,1.0,[4.02737847e-01 5.97180913e-01 8.12405844e-05]
107,0,0.0,[9.82373077e-01 1.76030999e-02 2.38228018e-05]
108,0,0.0,[7.68625911e-01 2.31349797e-01 2.42917385e-05]
109,0,0.0,[9.96928914e-01 3.05621740e-03 1.48687355e-05]
110,1,1.0,[9.25638449e-02 9.07386187e-01 4.99679630e-05]
111,1,1.0,[4.91590186e-01 5.08310131e-01 9.96822227e-05]
112,0,0.0,[9.42920632e-01 5.70485011e-02 3.08673891e-05]
113,0,0.0,[5.14054994e-01 4.85851995e-01 9.30110531e-05]
114,1,1.0,[1.08325228e-01 8.91606073e-01 6.86987279e-05]
115,0,0.0,[7.09623649e-01 2.90325706e-01 5.06448754e-05]
116,0,0.0,[9.78050582e-01 2.19323557e-02 1.70625850e-05]
117,1,1.0,[7.02183762e-02 9.29658351e-01 1.23272776e-04]
118,0,1.0,[3.14953319e-01 6.84959711e-01 8.69703687e-05]
119,0,0.0,[9.72962432e-01 2.70262132e-02 1.13546142e-05]
120,1,1.0,[1.59192730e-04 9.99839354e-01 1.45311217e-06]
121,0,0.0,[9.62433492e-01 3.75520753e-02 1.44323587e-05]
122,0,0.0,[9.70055727e-01 2.99283432e-02 1.59294108e-05]
123,0,1.0,[3.71872033e-02 9.62792939e-01 1.98572305e-05]
124,1,0.0,[8.83498182e-01 1.16466433e-01 3.53846736e-05]
125,1,1.0,[4.30079065e-02 9.56962133e-01 2.99602514e-05]
126,1,0.0,[8.97272698e-01 1.02698707e-01 2.85950324e-05]
127,0,1.0,[9.43843289e-02 9.05576276e-01 3.93950051e-05]
128,0,1.0,[6.14696950e-03 9.93844996e-01 8.03448269e-06]
129,0,0.0,[9.84482956e-01 1.54891472e-02 2.78972372e-05]
130,1,0.0,[9.97094519e-01 2.90145681e-03 4.02452873e-06]
131,1,0.0,[9.79952288e-01 2.00254111e-02 2.23005361e-05]
132,1,0.0,[8.30359568e-01 1.69587880e-01 5.25512399e-05]
133,1,1.0,[1.67862074e-02 9.83196948e-01 1.68444249e-05]
