,true,pred,prob
0,0,1.0,[0.31703073 0.67885924 0.00411003]
1,0,1.0,[0.5201611  0.47778905 0.00204985]
2,0,1.0,[0.4171854  0.58118849 0.0016261 ]
3,0,0.0,[0.80973845 0.1879573  0.00230425]
4,0,1.0,[0.44645187 0.55102957 0.00251856]
5,1,1.0,[0.10896317 0.88958003 0.0014568 ]
6,1,1.0,[0.16359878 0.83346797 0.00293325]
7,1,1.0,[0.13199512 0.86622027 0.00178461]
8,1,1.0,[0.25283631 0.74294201 0.00422169]
9,1,1.0,[0.41532958 0.58165634 0.00301407]
10,0,1.0,[0.43552466 0.56168074 0.0027946 ]
11,0,1.0,[0.41045935 0.58753341 0.00200725]
12,1,1.0,[0.19949139 0.7977298  0.00277881]
13,0,1.0,[0.61167001 0.38539732 0.00293267]
14,0,1.0,[0.2104929  0.78771086 0.00179625]
15,1,1.0,[0.30631499 0.69147736 0.00220764]
16,0,1.0,[0.35466895 0.64213732 0.00319374]
17,0,1.0,[0.25730319 0.74038523 0.00231159]
18,1,1.0,[0.13783604 0.85949039 0.00267357]
19,1,1.0,[0.27189088 0.72615637 0.00195275]
20,0,1.0,[0.48174779 0.51590532 0.0023469 ]
21,0,1.0,[0.58783172 0.40869958 0.0034687 ]
22,1,1.0,[0.47183859 0.52604783 0.00211358]
23,1,1.0,[0.41511745 0.58292647 0.00195608]
24,1,1.0,[0.22514188 0.77252418 0.00233394]
25,1,1.0,[0.27847411 0.71876855 0.00275734]
26,1,1.0,[0.38308154 0.61474291 0.00217554]
27,0,1.0,[0.26813231 0.73019496 0.00167273]
28,1,1.0,[0.28651194 0.7123222  0.00116586]
29,1,1.0,[0.28261696 0.71526377 0.00211927]
30,0,1.0,[0.61912673 0.37774427 0.00312899]
31,1,1.0,[0.50069238 0.49626806 0.00303956]
32,1,1.0,[0.26628104 0.73135025 0.0023687 ]
33,1,1.0,[0.20059885 0.79831782 0.00108333]
34,1,1.0,[0.21574217 0.78246023 0.00179761]
35,1,1.0,[0.21164256 0.7857531  0.00260434]
36,0,1.0,[0.36395371 0.63407004 0.00197625]
