,true,pred,prob
0,0,1,[0.17179806 0.82820194]
1,1,1,[0.01412735 0.98587265]
2,1,1,[0.0125912 0.9874088]
3,0,1,[0.12630351 0.87369649]
4,0,1,[0.13304741 0.86695259]
5,1,1,[0.21611092 0.78388908]
6,0,1,[0.03258388 0.96741612]
7,0,1,[0.13071895 0.86928105]
8,0,1,[0.23865739 0.76134261]
9,0,1,[0.32356698 0.67643302]
10,0,1,[0.00196774 0.99803226]
11,0,1,[0.44091241 0.55908759]
12,1,1,[0.03788045 0.96211955]
13,0,1,[1.30675387e-04 9.99869325e-01]
14,0,1,[0.14312945 0.85687055]
15,0,1,[0.08112401 0.91887599]
16,1,1,[0.48460498 0.51539502]
17,1,1,[0.33478197 0.66521803]
18,0,1,[0.05898894 0.94101106]
19,0,1,[0.36258067 0.63741933]
20,1,1,[0.34690685 0.65309315]
21,0,1,[0.08752749 0.91247251]
22,0,1,[0.04122679 0.95877321]
23,0,0,[0.55478575 0.44521425]
24,0,1,[0.04963934 0.95036066]
25,0,1,[0.1370759 0.8629241]
26,1,1,[0.11978952 0.88021048]
27,0,1,[0.09195404 0.90804596]
28,0,1,[0.16183948 0.83816052]
29,0,1,[0.01703027 0.98296973]
30,1,1,[0.04129029 0.95870971]
31,1,1,[0.29620049 0.70379951]
32,1,1,[0.24491185 0.75508815]
33,1,1,[0.00265143 0.99734857]
34,0,1,[0.09618884 0.90381116]
35,0,1,[0.39853195 0.60146805]
36,1,1,[1.50453326e-05 9.99984955e-01]
37,0,1,[0.18572542 0.81427458]
38,0,1,[0.06906863 0.93093137]
39,1,1,[0.32865736 0.67134264]
40,0,1,[0.10237702 0.89762298]
41,0,1,[0.08588519 0.91411481]
42,1,1,[0.20854304 0.79145696]
43,0,1,[0.07041207 0.92958793]
44,0,1,[0.30630481 0.69369519]
45,0,1,[0.03780124 0.96219876]
46,1,0,[0.74996271 0.25003729]
47,0,1,[0.08772264 0.91227736]
48,1,1,[0.30298153 0.69701847]
49,0,0,[0.61106858 0.38893142]
