,true,pred,prob
0,0,1,[0.35330262 0.64669738]
1,1,1,[0.00790582 0.99209418]
2,1,1,[3.0000009e-14 1.0000000e+00]
3,0,1,[0.00504285 0.99495715]
4,0,0,[0.45353417 0.54646583]
5,1,1,[0.17177813 0.82822187]
6,0,1,[0.07630847 0.92369153]
7,0,1,[8.60351246e-08 9.99999914e-01]
8,0,1,[2.55733451e-07 9.99999744e-01]
9,0,1,[2.13821773e-11 1.00000000e+00]
10,0,1,[0.16109776 0.83890224]
11,0,1,[0.00255285 0.99744715]
12,1,1,[3.0000009e-14 1.0000000e+00]
13,0,1,[6.46127742e-09 9.99999994e-01]
14,0,1,[3.0000009e-14 1.0000000e+00]
15,0,1,[3.0000009e-14 1.0000000e+00]
16,1,1,[1.35103056e-05 9.99986490e-01]
17,1,1,[3.0394860e-08 9.9999997e-01]
18,0,1,[0.02067989 0.97932011]
19,0,1,[2.59375318e-11 1.00000000e+00]
20,1,1,[7.74094137e-08 9.99999923e-01]
21,0,1,[3.0000009e-14 1.0000000e+00]
22,0,1,[3.0000009e-14 1.0000000e+00]
23,0,1,[1.24271890e-08 9.99999988e-01]
24,0,1,[1.95906365e-10 1.00000000e+00]
25,0,1,[2.51893593e-13 1.00000000e+00]
26,1,1,[3.0000009e-14 1.0000000e+00]
27,0,1,[3.47987677e-13 1.00000000e+00]
28,0,1,[0.0044459 0.9955541]
29,0,1,[3.0000009e-14 1.0000000e+00]
30,1,1,[0.03068406 0.96931594]
31,1,1,[3.0000009e-14 1.0000000e+00]
32,1,1,[5.87881423e-11 1.00000000e+00]
33,1,1,[3.0000009e-14 1.0000000e+00]
34,0,1,[3.0000009e-14 1.0000000e+00]
35,0,0,[0.93281546 0.06718454]
36,1,1,[3.0000009e-14 1.0000000e+00]
37,0,1,[1.46246904e-09 9.99999999e-01]
38,0,1,[3.0000009e-14 1.0000000e+00]
39,1,1,[9.49614052e-08 9.99999905e-01]
40,0,1,[9.26712448e-14 1.00000000e+00]
41,0,1,[1.62363188e-08 9.99999984e-01]
42,1,1,[8.05638097e-07 9.99999194e-01]
43,0,1,[0.08239635 0.91760365]
44,0,1,[1.18783435e-06 9.99998812e-01]
45,0,1,[3.0000009e-14 1.0000000e+00]
46,1,1,[3.0000009e-14 1.0000000e+00]
47,0,1,[0.10187723 0.89812277]
48,1,1,[1.06631968e-09 9.99999999e-01]
49,0,1,[0.0283831 0.9716169]
50,0,1,[0.04624917 0.95375083]
51,1,1,[1.78813818e-10 1.00000000e+00]
52,0,1,[7.62556133e-06 9.99992374e-01]
53,0,1,[3.0000009e-14 1.0000000e+00]
54,1,1,[3.0000009e-14 1.0000000e+00]
55,1,1,[3.0000009e-14 1.0000000e+00]
