,true,pred,prob
0,0,1,[0.1153577 0.8846423]
1,0,0,[0.83255532 0.16744468]
2,0,1,[0.38464149 0.61535851]
3,0,0,[0.69765494 0.30234506]
4,0,0,[0.80487428 0.19512572]
5,1,1,[0.00711143 0.99288857]
6,1,1,[0.09026971 0.90973029]
7,1,1,[0.0450193 0.9549807]
8,1,0,[0.65106378 0.34893622]
9,1,0,[0.58143225 0.41856775]
10,0,0,[0.60185269 0.39814731]
11,0,1,[0.47892032 0.52107968]
12,1,1,[0.03153591 0.96846409]
13,0,0,[0.84679785 0.15320215]
14,0,1,[0.1674425 0.8325575]
15,1,1,[0.252238 0.747762]
16,0,1,[0.39487546 0.60512454]
17,0,1,[0.32984849 0.67015151]
18,1,1,[0.01284133 0.98715867]
19,1,1,[0.05144481 0.94855519]
20,0,0,[0.68589046 0.31410954]
21,0,0,[0.8695473 0.1304527]
22,1,0,[0.72258576 0.27741424]
23,1,0,[0.5788658 0.4211342]
24,1,1,[0.05159032 0.94840968]
25,1,1,[0.30257365 0.69742635]
26,1,1,[0.38955132 0.61044868]
27,0,1,[0.32125653 0.67874347]
28,1,1,[0.18201154 0.81798846]
29,1,0,[0.64233945 0.35766055]
30,0,0,[0.80701674 0.19298326]
31,1,0,[0.79043535 0.20956465]
32,1,1,[0.35118784 0.64881216]
33,1,1,[0.35368354 0.64631646]
34,1,1,[0.07248471 0.92751529]
35,1,1,[0.03635094 0.96364906]
36,0,0,[0.50450515 0.49549485]
37,0,1,[0.39038909 0.60961091]
38,1,0,[0.54181141 0.45818859]
39,1,1,[0.36441659 0.63558341]
40,0,0,[0.84888593 0.15111407]
41,0,0,[0.81750581 0.18249419]
42,0,0,[0.83868706 0.16131294]
43,1,0,[0.77855729 0.22144271]
44,1,0,[0.78112653 0.21887347]
45,0,0,[0.92296142 0.07703858]
46,1,1,[0.09746423 0.90253577]
47,1,1,[0.26814571 0.73185429]
48,1,1,[0.44056035 0.55943965]
49,1,1,[0.45138603 0.54861397]
50,1,1,[0.00434832 0.99565168]
51,0,0,[0.78423183 0.21576817]
52,0,1,[0.42606707 0.57393293]
53,0,1,[0.19476884 0.80523116]
54,1,1,[0.03722728 0.96277272]
55,1,0,[0.83986527 0.16013473]
56,1,1,[0.2037678 0.7962322]
57,0,0,[0.61833327 0.38166673]
58,0,0,[0.54587975 0.45412025]
59,0,0,[0.72226997 0.27773003]
60,1,1,[0.29085856 0.70914144]
61,0,0,[0.66521526 0.33478474]
62,1,1,[0.09818751 0.90181249]
63,1,1,[0.46710355 0.53289645]
64,1,0,[0.70166055 0.29833945]
65,1,1,[0.16771146 0.83228854]
66,0,0,[0.6736816 0.3263184]
67,0,1,[0.41944916 0.58055084]
68,0,0,[0.77194536 0.22805464]
69,1,1,[0.02239767 0.97760233]
70,0,1,[0.21496588 0.78503412]
71,0,0,[0.81046718 0.18953282]
72,0,0,[0.73192174 0.26807826]
73,1,1,[0.23909384 0.76090616]
74,0,0,[0.77470512 0.22529488]
75,1,1,[0.26739649 0.73260351]
76,0,0,[0.73096811 0.26903189]
77,1,0,[0.5689088 0.4310912]
78,0,1,[0.23463487 0.76536513]
79,0,0,[0.51264264 0.48735736]
80,1,0,[0.69716784 0.30283216]
81,0,0,[0.671968 0.328032]
82,1,1,[0.11944812 0.88055188]
83,1,1,[0.12565672 0.87434328]
84,1,1,[0.02038367 0.97961633]
85,0,1,[0.40492809 0.59507191]
86,1,1,[0.10353241 0.89646759]
87,0,0,[0.59586863 0.40413137]
88,1,1,[0.47567323 0.52432677]
89,1,1,[0.37599366 0.62400634]
90,0,0,[0.56474081 0.43525919]
91,1,1,[0.11199328 0.88800672]
92,1,1,[0.32411329 0.67588671]
93,1,1,[0.06055278 0.93944722]
94,1,1,[0.40859873 0.59140127]
95,0,0,[0.83966486 0.16033514]
96,1,1,[0.2429698 0.7570302]
97,1,1,[0.13512814 0.86487186]
98,0,0,[0.73031549 0.26968451]
99,0,1,[0.32578892 0.67421108]
100,1,0,[0.70672988 0.29327012]
101,0,1,[0.43711319 0.56288681]
102,1,0,[0.79516996 0.20483004]
103,0,0,[0.51880107 0.48119893]
104,1,0,[0.84284954 0.15715046]
105,1,1,[0.04002001 0.95997999]
